State,2015,2016,2017,2018,2019,2020,2021
Johor,110002.221,120119.407,130562.73,136432.926,140579.73,135749.735,146625.549
Kedah,39549.581,42043.686,44938.651,46282.925,48643.71,48369.289,50725.196
Kelantan,21407.736,23193.74,25049.364,25469.465,27015.721,26800.379,28243.403
Melaka,36077.257,37927.728,42758.265,44184.441,45592.661,42793.777,44810.813
Negeri Sembilan,40185.677,42592.722,46494.934,48304.864,51111.28,49504.118,53578.41
Pahang,49449.712,53175.213,58882.574,59227.469,61108.443,60485.084,66160.35
Pulau Pinang,78146.215,83536.2,89176.564,93292.269,97644.316,97069.828,103851.679
Perak,63175.555,67869.103,73154.088,75860.074,79576.184,78938.989,86388.8
Perlis,5352.875,5669.936,5946.685,6187.34,6481.625,6010.831,6185.485
Selangor,268824.995,286297.09,312960.055,333764.607,358032.094,339975.779,364271.427
Terengganu,31124.445,32467.192,36056.495,37095.97,38491.364,33864.354,36174.583
Sabah,73776.128,80503.01,95006.366,100702.698,99048.426,84280.942,102243.433
Sarawak,121585.277,124188.654,138803.969,146246.178,150264.617,137235.44,162657.076
W.P. Kuala Lumpur,180864.541,193983.245,213196.833,229309.892,244594.693,227516.47,231407.003
W.P. Labuan,5999.225,6421.048,6897.573,7350.336,7724.703,7646.99,7810.14
Supra,51419.75,49709.721,52424.686,58048.181,56828.187,41758.341,54238.236
